Unnamed: 0,adverb,cluster,sentence,entropy,type
1486,shamelessly,0,"Shamelessly you bartered Freia, my lovely sister",1.954359163391928e-08,adverb.subject_oriented
1487,sharply,0,Master Shen. Many analysts found out that. Ruan's later progressive roles contrasted sharply with her real life.,1.6623114347457886,adverb.degree
1488,sharply,1,(EXHALES SHARPLY) TED JR.: (WHISPERING) Hey.,4.5754052990787386e-08,adverb.manner
1489,sharply,2,I have spoken to Mr. Hoffman very sharply.,2.838740348815918,adverb.manner
1490,sharply,3,"From this day forward, whenever we go out, we will have our coats buttoned up and we will wear these Purana ties knotted sharply.",3.337948799133301,adverb.manner
1491,sharply,4,Whether we can contrast them more sharply.,2.6124792098999023,adverb.manner
1492,sharply,5,What? Sung Min Ah keeps her appointments as sharply as a knife?,2.6508119106292725,adverb.manner
1493,sharply,6,- The Fallen Sharply HAS level.,0.0001246896426891,adverb.degree
1494,sharply,14,"WE'RE ROLLING OUT SOME INNOVATIVE PRODUCTS NEXT QUARTER. WELL, YOUR STOCK WENT UP SHARPLY",7.887007491547138e-09,adverb.degree
1495,sheepishly,0,"Sheepishly, they admitted that it was too late. That the money was already spent.",3.6966041534469696e-06,adverb.subject_oriented
1496,shockingly,1,"Shockingly, these gift baskets haven't solved anything.",4.208096093805125e-09,adverb.speaker_oriented
1497,shoddily,0,What we have here is a shoddily executed lie.,2.3636860847473145,adverb.manner
1498,shortly,0,"[reporter] Shortly after the businesswoman was released, this man was arrested, former army officer Ronaldo Monteiro.",7.867418716500651e-09,adverb.temporal
1499,shrewdly,0,JACK PLAYED THE MARKETS SHREWDLY AND NOW RUNS HIS INVESTMENTS OUT OF A TOWNHOUSE OFF REGENT'S PARK.,3.3099752272391925e-08,adverb.manner
1500,shrewdly,1,"The air bites shrewdly, it is very cold.",0.004525747615844,adverb.manner
1501,shrilly,0,"[shrilly] Aah! Oh, I just spilled soup on the cam!",1.2491500456235374e-07,adverb.manner
1502,shyly,0,"Shyly, the peasant shows her her favorite dance.",1.6907992517189998e-07,adverb.manner
1503,sickeningly,0,- Hundreds late. Sickeningly late.,6.185096026456449e-06,adverb.degree
1504,significantly,0,Significantly altered you to - the - core.,0.0001332652318524,adverb.degree
1505,significantly,1,"What do you mean by ""significantly?""",7.188931340351701e-05,adverb.degree
1506,significantly,2,"- Significantly, sensing the end game.",2.03057801684281e-08,adverb.speaker_oriented
1507,silently,0,Silently the sword remains there.,0.0003849840140901,adverb.manner
1508,silently,1,"COMMANDED BY HENRY PROCTOR SILENTLY MADE ITS WAY THROUGH THE SNOWY FOREST. SHADRACH BYFIELD, THE PRIVATE FROM WILTSHIRE,",1.638710145357436e-08,adverb.manner
1509,silently,2,"Silently, let us pray, that God will bless your home and help you to achieve your highest hopes.",1.6068248953615692e-09,adverb.manner
1510,silently,4,We are trained to be spies and to follow people silently.,1.0078747272491455,adverb.manner
1511,similarly,0,"With a reasonable degree of medical certainty and according to a standard of care exercised by similarly qualified practitioners in a same or similar circumstance in a community of the same or similar size,",1.7110092639923096,adverb.manner
1512,similarly,1,"..similarly, I am his gang's doctor.",5.836053307284317e-10,adverb.manner
1513,simply,1,"Simply by yelling at the girls and threatening 'em with violence, he has made our home a happy place.",1.0013000206754441e-07,adverb.degree
1514,simply,2,Simply guard the house for me.,5.600907115876908e-06,adverb.speaker_oriented
1515,simply,3,"Simply put, be nice to the Arab world.",8.867487188979341e-09,adverb.speaker_oriented
1516,simultaneously,0,"Simultaneously, the liver in turn excretes poisons into the colon for expulsion.",1.3355383465807336e-08,adverb.temporal
1517,sincerely,0,"""Sincerely, Donald F. Draper, ""Creative Director, Sterling Cooper Draper Pryce.""",7.552380942854596e-10,adverb.speaker_oriented
