adverb	cluster	sentence	jooyoung	Column 1	jader	Column 1	match?	Column 2
arrogantly	0	maybe <t>arrogantly</t> is a better word.		n/a		?		
arrogantly	1	if you have three steps to do, and you take those steps <t>arrogantly</t>, if you think you are invincible, you're going to die.	manner		manner			
arrogantly	2	that is so <t>arrogantly</t> phallic!	degree	?	manner		*	
boldly	0	its continuing mission, to explore strange new worlds,... ..to seek out new life and new civilisations,... ..to <t>boldly</t> go where no one has gone before.	manner		manner			
boldly	1	the swimming-pool, <t>boldly</t> projected in the sea...	manner		manner			
boldly	2	no, it's <t>boldly</t> retro, but i'm thinking something involving heisenberg's uncertainty principle.	degree	manner?	manner		*	
bravely	0	(i used to guard these mountains and forests <t>bravely</t>)	manner		manner			
bravely	1	the next, our ship - which but three glasses since we gave out split - is tight and yare, and <t>bravely</t> rigg'd, as when we first put out to sea.	manner		manner			
bravely	2	i didn't know whether to be brave for jordie and casey or cry it out. so, i cried <t>bravely</t>. you know, like a man, in a low voice, while i was changing the oil on my car.	manner		manner			
cleverly	0	<t>cleverly</t>, he deactivates the weapons system, and the crowd goes wild.	subject-oriented		subject-oriented			
cleverly	1	- you shouldn't look at me so <t>cleverly</t>...	manner		manner			
cleverly	2	this is a painting of the cliffs at ̩tretat, <t>cleverly</t> titled the cliffs at ̩tretat.	manner		manner			
clumsily	0	<t>clumsily</t>, with more mess than necessary.	manner		manner			
clumsily	1	i hadn't thought to put on my climbing boots and stumbled <t>clumsily</t> behind him across the sharp stones.	manner		manner			
clumsily	2	those books were tied <t>clumsily</t>.	manner		manner			
considerately	0	how about that? whereupon a dead man very <t>considerately</t> gets up and locks the door from the inside.	subject-oriented	?	subject-oriented			
considerately	1	the coupling device that you so <t>considerately</t> left us on your decoy warhead is accurate to 10 feet.	subject-oriented		manner		*	
considerately	2	well, i didn't want to disturb you, and hogan very <t>considerately</t> asked me out.	subject-oriented		manner		*	
cowardly	0	why are you so <t>cowardly</t>?	manner		manner			
